id,long,lat,height,radius
0,115.08083036244504,-15.7797496909674,267.9972022414979 km,6594.110751471153 km
1,153.93700816410848,-9.74406769006346,315.81369372335337 km,5190.959465478646 km
2,120.09910960315422,-20.121480214253598,461.75382480254046 km,8506.93805313528 km
3,129.69379876788528,-11.285457609581421,114.79969896095001 km,12835.45198899653 km
4,151.1797293891175,-27.263444302012626,384.9247888692726 km,24423.69884715384 km
5,130.59045720343488,-28.18016444896305,129.4230547255289 km,15185.344365940013 km
6,124.97196434795345,-39.07493655678089,554.2564855870105 km,12972.498740310552 km
7,126.64099461141389,-24.082305621903654,131.03731594058806 km,7479.656628911594 km
8,117.20302464093375,-31.66983964839904,253.782302742367 km,7963.807101586994 km
9,111.5943533209837,-13.576610180223387,554.8701823492665 km,18461.326759356423 km
10,152.96410185841077,-16.789560325244807,436.2054666969872 km,24086.400440953432 km
11,127.38265819650049,-22.021959975009597,239.8246565630511 km,7667.889250174832 km
12,140.521597174316,-21.619494669137957,563.2607551815781 km,29351.82544889115 km
13,116.74529273640195,-30.14263572389943,348.85374174582836 km,19891.01541821654 km
14,130.54682621651344,-43.86246446237668,121.94112308205808 km,14700.072891028147 km
15,144.8793740149645,-13.72434982671998,271.4903960269269 km,16118.430153791262 km
16,145.74539140959257,-10.84119386705924,430.5730245696292 km,10189.166491556341 km
17,126.29432163370363,-17.455360755228618,168.0454241055349 km,11108.05865692427 km
18,134.68462262904495,-32.146716157307054,352.06312207698454 km,27303.111757995794 km
19,128.5388772572997,-42.5263867367968,579.1633202452938 km,29735.815572079046 km
20,141.13620064568107,-32.255662455992336,109.88635745709249 km,25751.50206413639 km
21,147.22352338633323,-13.12301477438628,122.43373928750015 km,12676.837039595894 km
22,121.6481014818617,-37.544788466227914,423.98851202946366 km,23197.82870566973 km
23,136.30946172400718,-25.020386501857704,303.69374744876427 km,24685.274987267967 km
24,124.84311277749205,-11.9324474792543,139.15108999917842 km,21832.637439997532 km
25,126.17755627004232,-17.895402031668834,158.5188276738292 km,8277.23246597626 km
26,113.00861021514295,-34.0590077386038,381.81763453569084 km,13962.318454477292 km
27,116.66465633519242,-33.18287883566076,382.57051462611 km,23675.878362050065 km
28,133.668155094745,-16.6812535846769,344.7135402861131 km,29520.6144942607 km
29,140.39474916866632,-42.42471452004478,593.883145087916 km,9381.422084625436 km
30,134.21246428777283,-29.528932001462202,494.4176587366712 km,15809.14959256224 km
31,128.99220952490757,-11.935373541854247,150.90697789126952 km,26538.117479953256 km
32,128.5510618903559,-30.075115423395644,321.3769395156861 km,24039.654619124038 km
33,131.71069718851365,-28.79648305288985,395.6004392812196 km,15459.13434065702 km
34,122.09478415768072,-33.30071985288795,438.077194887718 km,8830.28162493502 km
35,119.19795323177472,-15.527664042454031,104.96358934798408 km,17056.46128665302 km
36,123.27730187672307,-43.840304697772744,270.0523705608422 km,7791.146152604746 km
37,125.43014226740736,-28.217018790462905,448.0004552926285 km,17657.194130608164 km
38,130.67748961242893,-36.70258553859142,370.64391940090457 km,21497.709248826475 km
39,149.00901975923608,-25.479465947967707,488.91956104939345 km,11333.432932678004 km
40,152.88127519271282,-23.462418349320952,201.6599576958031 km,26425.067499435278 km
41,144.31697195840323,-31.277132777105628,351.75251609937584 km,28423.9181138898 km
42,142.51009858558763,-39.90340463960336,198.22297893188053 km,14550.78743627522 km
43,140.73904097213412,-29.19136546062117,371.21599897852593 km,11325.498544431768 km
44,131.3202722124466,-21.269424561907748,359.6070859370081 km,7764.261827200915 km
45,138.07060718960088,-42.65159803929518,200.0881102868722 km,8605.924581001635 km
46,137.01557788898916,-38.58569600668573,395.8901179544546 km,14246.935527643724 km
47,152.0890702179614,-42.591049356849545,108.92760755243205 km,5983.783180001016 km
48,129.99948094060107,-40.3373926177849,541.5137734992129 km,12871.51615291819 km
49,153.70648057064471,-30.011399514630064,189.18987127408923 km,11149.739702411796 km
50,150.38780767539026,-41.28742325135377,375.0381453035119 km,18959.694317966303 km
51,122.33824167426565,-24.467118828601976,439.617724244781 km,21447.854032825537 km
52,134.83009047215518,-17.778817609752178,538.4674858367807 km,24520.183028633517 km
53,135.31785035902135,-29.833918969996773,478.1505211213321 km,28776.74425373291 km
54,117.2759874187497,-24.582761681734702,156.2222096103921 km,16872.67508493869 km
55,116.5917344443153,-15.962893401912382,324.24548096636374 km,27639.592985843454 km
56,151.41577553144836,-12.482329594312539,328.5148228090892 km,8697.396256786842 km
57,116.85339361648037,-24.736630495227907,260.983003209943 km,27702.18958029893 km
58,133.65102895905676,-19.169908425297017,553.615666558773 km,28002.818199702528 km
59,136.71031323944007,-37.2525605072356,574.4175308096073 km,21105.64941284414 km
60,118.34393485761129,-38.76168657873084,574.807371552351 km,7124.627693898185 km
61,111.64860240139485,-32.24208828776368,587.6113065975451 km,28146.68101985401 km
62,137.99417520496516,-28.953901916374356,226.65589181165893 km,29132.590801142596 km
63,136.92188109398066,-44.05389350630878,107.33401444298588 km,13125.934090211682 km
64,138.6763942540867,-29.426751890375694,408.47561438765365 km,29129.40215113161 km
65,133.62309557101574,-27.04279233122182,407.540074860799 km,14684.992809753385 km
66,138.97102311371862,-36.88511586398099,293.8971126834868 km,13368.705420947883 km
